id,SalePrice
1461,121231.96872660158
1462,153390.91431274876
1463,180857.74599091822
1464,193050.71468530287
1465,199729.75399345372
1466,170933.77342413223
1467,177451.82248330885
1468,159859.24106582583
1469,195230.48662746898
1470,119500.26103980588
1471,190598.6316030828
1472,97299.29916901965
1473,95612.19640787705
1474,146053.45800558914
1475,114891.79476352438
1476,361972.3966275456
1477,247962.42506925605
1478,295306.2830914544
1479,299342.06284458254
1480,477792.9942862876
1481,326936.50385204714
1482,211540.46760794794
1483,175293.81446004286
1484,162066.5912152873
1485,190742.90617205846
1486,193400.1414649654
1487,341570.3967336026
1488,239713.42125798418
1489,192711.596486276
1490,227792.5268844988
1491,195532.80465914906
1492,92864.03939639167
1493,187985.076720463
1494,305443.90272089146
1495,295617.8489337206
1496,232414.8920365435
1497,180552.52039510966
1498,167118.05954460733
1499,163491.45229345988
1500,152509.94682939677
1501,171963.74355658883
1502,147242.31077747256
1503,284490.19959623506
1504,242551.4712992157
1505,226229.4439279172
1506,187749.54551128772
1507,241826.55929054398
1508,201100.7207365156
1509,163281.9102788804
1510,143595.07515493763
1511,148309.7511307099
1512,175401.46467734524
1513,151610.78815623105
1514,156900.37068797962
1515,197504.6677224043
1516,157745.18113010898
1517,168875.5252691245
1518,134964.387469432
1519,211163.3526791955
1520,127793.33194328858
1521,130982.15874928552
1522,178707.3194614455
1523,110477.50377883464
1524,125659.09545388765
1525,120948.04512722132
1526,113363.98381580878
1527,108260.14911023306
1528,138340.6940344948
1529,149153.0845212774
1530,184683.99160817487
1531,106402.43935360062
1532,99846.12044991826
1533,144755.18736498785
1534,124744.26389486801
1535,148054.11296000815
1536,106958.23087156586
1537,65394.37112487494
1538,149704.9759612123
1539,196389.02321885552
1540,95909.76709716654
1541,138033.1481107194
1542,139151.46861487327
1543,190967.19767624192
1544,84897.2174657131
1545,113668.00109020849
1546,133981.69797926565
1547,128749.33857981049
1548,138012.41543231037
1549,120068.85224151298
1550,134424.80837451073
1551,111183.61700297246
1552,132733.95375227102
1553,146793.60461866995
1554,116205.72897110373
1555,161549.81927989126
1556,84783.13459761628
1557,105203.61269208361
1558,98149.18758497859
1559,68469.21333942347
1560,134346.23881657387
1561,130522.53057733367
1562,130551.23890923696
1563,119172.85584259802
1564,153143.67307474813
1565,150814.4111075724
1566,239510.03855969827
1567,77938.64924832858
1568,228414.60928437527
1569,125021.26853477283
1570,139347.33156011638
1571,125318.79706783096
1572,143488.54556501648
1573,236321.24015514084
1574,120690.15666223996
1575,227635.6005812121
1576,238133.09718952113
1577,181926.4041793572
1578,149577.67319424916
1579,144421.55741662034
1580,198217.55301768094
1581,152020.76734319574
1582,125370.98877799758
1583,296201.44931879744
1584,216757.1849306093
1585,136397.4268857115
1586,68901.23313938858
1587,104987.51757695142
1588,150511.91048495108
1589,94956.55047414287
1590,134234.66062153337
1591,92145.82734180184
1592,116236.78750029957
1593,128484.73063535182
1594,119472.9420241617
1595,106232.69006954714
1596,223667.7878736562
1597,194292.28731539974
1598,227085.52753541252
1599,174158.14371580433
1600,167866.1759734947
1601,66976.53911637756
1602,116848.04134921772
1603,77388.84417533722
1604,259747.41105250374
1605,245946.3569576857
1606,167977.2099573377
1607,178721.3123547189
1608,215902.12339523603
1609,181930.44711393586
1610,149824.23005184578
1611,139042.9005877333
1612,170790.28681098693
1613,162348.18303036544
1614,129437.86536029405
1615,92890.69755392364
1616,78314.04310222293
1617,94769.69741964203
1618,125035.21033941244
1619,140425.91156442062
